"Name","Pos","Team","ETR_Rank","Pos_Rank"
"Ja'Marr Chase","WR","CIN","1","WR01"
"Bijan Robinson","RB","ATL","2","RB01"
"Justin Jefferson","WR","MIN","3","WR02"
"Saquon Barkley","RB","PHI","4","RB02"
"CeeDee Lamb","WR","DAL","5","WR03"
"Christian McCaffrey","RB","SF","6","RB03"
"Puka Nacua","WR","LA","7","WR04"
"Amon-Ra St. Brown","WR","DET","8","WR05"
"Jahmyr Gibbs","RB","DET","9","RB04"
"Malik Nabers","WR","NYG","10","WR06"
"Nico Collins","WR","HOU","11","WR07"
"Brian Thomas Jr.","WR","JAX","12","WR08"
"Ashton Jeanty","RB","LV","13","RB05"
"Brock Bowers","TE","LV","14","TE01"
"Drake London","WR","ATL","15","WR09"
"Derrick Henry","RB","BAL","16","RB06"
"Bucky Irving","RB","TB","17","RB07"
"A.J. Brown","WR","PHI","18","WR10"
"De'Von Achane","RB","MIA","19","RB08"
"Ladd McConkey","WR","LAC","20","WR11"
"Trey McBride","TE","ARI","21","TE02"
"Josh Jacobs","RB","GB","22","RB09"
"Chase Brown","RB","CIN","23","RB10"
"Tee Higgins","WR","CIN","24","WR12"
"Jonathan Taylor","RB","IND","25","RB11"
"Rashee Rice","WR","KC","26","WR13"
"Jaxon Smith-Njigba","WR","SEA","27","WR14"
"Breece Hall","RB","NYJ","28","RB12"
"Kyren Williams","RB","LA","29","RB13"
"Davante Adams","WR","LA","30","WR15"
"Garrett Wilson","WR","NYJ","31","WR16"
"Tyreek Hill","WR","MIA","32","WR17"
"Omarion Hampton","RB","LAC","33","RB14"
"James Cook","RB","BUF","34","RB15"
"Terry McLaurin","WR","WAS","35","WR18"
"DJ Moore","WR","CHI","36","WR19"
"Tet McMillan","WR","CAR","37","WR20"
"Marvin Harrison Jr.","WR","ARI","38","WR21"
"Mike Evans","WR","TB","39","WR22"
"Kenneth Walker III","RB","SEA","40","RB16"
"Xavier Worthy","WR","KC","41","WR23"
"Lamar Jackson","QB","BAL","42","QB01"
"Josh Allen","QB","BUF","43","QB02"
"Travis Hunter","WR","JAX","44","WR24"
"George Kittle","TE","SF","45","TE03"
"Joe Mixon","RB","HOU","46","RB17"
"DK Metcalf","WR","PIT","47","WR25"
"Chuba Hubbard","RB","CAR","48","RB18"
"Courtland Sutton","WR","DEN","49","WR26"
"Alvin Kamara","RB","NO","50","RB19"
"Jayden Daniels","QB","WAS","51","QB03"
"Devonta Smith","WR","PHI","52","WR27"
"RJ Harvey","RB","DEN","53","RB20"
"Zay Flowers","WR","BAL","54","WR28"
"Jameson Williams","WR","DET","55","WR29"
"TreVeyon Henderson","RB","NE","56","RB21"
"Jaylen Waddle","WR","MIA","57","WR30"
"George Pickens","WR","DAL","58","WR31"
"Calvin Ridley","WR","TEN","59","WR32"
"Jalen Hurts","QB","PHI","60","QB04"
"Chris Olave","WR","NO","61","WR33"
"David Montgomery","RB","DET","62","RB22"
"Jerry Jeudy","WR","CLE","63","WR34"
"James Conner","RB","ARI","64","RB23"
"Sam LaPorta","TE","DET","65","TE04"
"Jordan Addison","WR","MIN","66","WR35"
"Jakobi Meyers","WR","LV","67","WR36"
"Aaron Jones","RB","MIN","68","RB24"
"Rome Odunze","WR","CHI","69","WR37"
"Jauan Jennings","WR","SF","70","WR38"
"Deebo Samuel","WR","WAS","71","WR39"
"Quinshon Judkins","RB","CLE","72","RB25"
"Tony Pollard","RB","TEN","73","RB26"
"Khalil Shakir","WR","BUF","74","WR40"
"Chris Godwin","WR","TB","75","WR41"
"Joe Burrow","QB","CIN","76","QB05"
"D'Andre Swift","RB","CHI","77","RB27"
"T.J. Hockenson","TE","MIN","78","TE05"
"Jaylen Warren","RB","PIT","79","RB28"
"Isiah Pacheco","RB","KC","80","RB29"
